Day,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
2022-01-10,United Kingdom,2022-01-11 04:22:01,18.2206,-63.0686,1942,6,,,"Anguilla, United Kingdom",12944.940674576723,0.30895983522142123
2022-01-10,United Kingdom,2022-01-11 04:22:01,32.3078,-64.7505,7880,110,,,"Bermuda, United Kingdom",12653.959179740821,1.3959390862944163
2022-01-10,United Kingdom,2022-01-11 04:22:01,18.4207,-64.64,4207,40,,,"British Virgin Islands, United Kingdom",15755.531302708601,0.9507962918944616
2022-01-10,United Kingdom,2022-01-11 04:22:01,19.3133,-81.2546,10618,12,,,"Cayman Islands, United Kingdom",16156.421180766887,0.1130156338293464
2022-01-10,United Kingdom,2022-01-11 04:22:01,49.3723,-2.3644,0,0,,,"Channel Islands, United Kingdom",20031.789042750985,0.34549393921649
2022-01-10,United Kingdom,2022-01-11 04:22:01,52.3555,-1.1743,12370121,130632,,,"England, United Kingdom",22098.49903174864,1.0560284737715986
2022-01-10,United Kingdom,2022-01-11 04:22:01,-51.7963,-59.5236,85,0,,,"Falkland Islands (Malvinas), United Kingdom",2440.424921045076,0.0
2022-01-10,United Kingdom,2022-01-11 04:22:01,36.1408,-5.3536,9969,100,,,"Gibraltar, United Kingdom",29589.504615475944,1.0031096398836392
2022-01-10,United Kingdom,2022-01-11 04:22:01,54.2361,-4.5481,18701,68,,,"Isle of Man, United Kingdom",21992.89679179603,0.3636169188813432
2022-01-10,United Kingdom,2022-01-11 04:22:01,16.742498,-62.187366,114,1,,,"Montserrat, United Kingdom",2280.456091218244,0.8771929824561403
2022-01-10,United Kingdom,2022-01-11 04:22:01,54.7877,-6.4923,462870,3014,,,"Northern Ireland, United Kingdom",24599.808673469386,0.6511547518741764
2022-01-10,United Kingdom,2022-01-11 04:22:01,-7.9467,-14.3559,4,0,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom",70.65889418830595,0.0
2022-01-10,United Kingdom,2022-01-11 04:22:01,56.4907,-4.2026,1056837,9934,,,"Scotland, United Kingdom",19344.297402668715,0.9399746602361576
2022-01-10,United Kingdom,2022-01-11 04:22:01,21.69400000000001,-71.7979,4011,27,,,"Turks and Caicos Islands, United Kingdom",10359.522702618935,0.6731488406881077
2022-01-10,United Kingdom,2022-01-11 04:22:01,,,0,0,,,"Unknown, United Kingdom",,
2022-01-10,United Kingdom,2022-01-11 04:22:01,52.1307,-3.7837,727486,6650,,,"Wales, United Kingdom",23178.678391639583,0.9141069381403903
2022-01-10,United Kingdom,2022-01-11 04:22:01,49.2138,-2.1358,23789,90,0.0,0.0,"Jersey, United Kingdom",0.0,0.0
2022-01-10,United Kingdom,2022-01-11 04:22:01,49.448196,-2.58949,9820,28,0.0,0.0,"Guernsey, United Kingdom",0.0,0.0
2022-01-11,United Kingdom,2022-01-12 04:21:44,18.2206,-63.0686,1942,6,,,"Anguilla, United Kingdom",12944.940674576723,0.30895983522142123
2022-01-11,United Kingdom,2022-01-12 04:21:44,32.3078,-64.7505,7880,110,,,"Bermuda, United Kingdom",12653.959179740821,1.3959390862944163
2022-01-11,United Kingdom,2022-01-12 04:21:44,18.4207,-64.64,4764,40,,,"British Virgin Islands, United Kingdom",15755.531302708601,0.8396305625524769
2022-01-11,United Kingdom,2022-01-12 04:21:44,19.3133,-81.2546,11226,12,,,"Cayman Islands, United Kingdom",17081.5581253804,0.10689470871191876
2022-01-11,United Kingdom,2022-01-12 04:21:44,49.3723,-2.3644,0,0,,,"Channel Islands, United Kingdom",20346.160388037468,0.3459210147016431
2022-01-11,United Kingdom,2022-01-12 04:21:44,52.3555,-1.1743,12469614,130990,,,"England, United Kingdom",22276.237468112016,1.0504735752044931
2022-01-11,United Kingdom,2022-01-12 04:21:44,-51.7963,-59.5236,85,0,,,"Falkland Islands (Malvinas), United Kingdom",2440.424921045076,0.0
2022-01-11,United Kingdom,2022-01-12 04:21:44,36.1408,-5.3536,10096,100,,,"Gibraltar, United Kingdom",29966.459885429347,0.9904912836767036
2022-01-11,United Kingdom,2022-01-12 04:21:44,54.2361,-4.5481,18847,68,,,"Isle of Man, United Kingdom",22164.59685765359,0.3608001273412214
2022-01-11,United Kingdom,2022-01-12 04:21:44,16.742498,-62.187366,114,1,,,"Montserrat, United Kingdom",2280.456091218244,0.8771929824561403
2022-01-11,United Kingdom,2022-01-12 04:21:44,54.7877,-6.4923,466290,3015,,,"Northern Ireland, United Kingdom",24781.56887755102,0.6465933217525575
2022-01-11,United Kingdom,2022-01-12 04:21:44,-7.9467,-14.3559,4,0,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom",70.65889418830595,0.0
2022-01-11,United Kingdom,2022-01-12 04:21:44,56.4907,-4.2026,1067028,9950,,,"Scotland, United Kingdom",19530.833013014108,0.9324966167710688
2022-01-11,United Kingdom,2022-01-12 04:21:44,21.69400000000001,-71.7979,4094,27,,,"Turks and Caicos Islands, United Kingdom",10573.89327961155,0.6595017098192477
2022-01-11,United Kingdom,2022-01-12 04:21:44,,,0,0,,,"Unknown, United Kingdom",,
2022-01-11,United Kingdom,2022-01-12 04:21:44,52.1307,-3.7837,729662,6654,,,"Wales, United Kingdom",23248.00866628433,0.9119290849735904
2022-01-11,United Kingdom,2022-01-12 04:21:44,49.2138,-2.1358,24217,90,0.0,0.0,"Jersey, United Kingdom",0.0,0.0
2022-01-11,United Kingdom,2022-01-12 04:21:44,49.448196,-2.58949,9946,28,0.0,0.0,"Guernsey, United Kingdom",0.0,0.0
2022-01-12,United Kingdom,2022-01-13 08:00:09,18.2206,-63.0686,1942,6,,,"Anguilla, United Kingdom",12944.940674576723,0.30895983522142123
2022-01-12,United Kingdom,2022-01-13 08:00:09,32.3078,-64.7505,7880,110,,,"Bermuda, United Kingdom",12653.959179740821,1.3959390862944163
2022-01-12,United Kingdom,2022-01-13 08:00:09,18.4207,-64.64,4947,40,,,"British Virgin Islands, United Kingdom",16360.750074412144,0.8085708510208207
2022-01-12,United Kingdom,2022-01-13 08:00:09,19.3133,-81.2546,11666,14,,,"Cayman Islands, United Kingdom",17751.065124771758,0.12000685753471628
2022-01-12,United Kingdom,2022-01-13 08:00:09,49.3723,-2.3644,0,0,,,"Channel Islands, United Kingdom",20601.88036293468,0.3473210727096738
